α	Alpha	alpha, the first letter of the Greek alphabet.
ὕαλος	glass	(Hdt.) a clear transparent stone. (from Plat. on) glass: Rev.21:18, 21.† (AS)
ὑβρίζω	to mistreat	(ὕβρις), intrans., to wax wanton, run riot.
ὕβρις	mistreatment	wantonness, insolence. = ὕβρισμα, an act of wanton violence, an outrage, injury : 2Co.12:10; metaphorically, of a loss by sea (find.), Act.27:10, 21 (see MM, xxv).† (AS)
ὑβριστής	insolent man	(ὑβρίζω), a violent, insolent man : Rom.1:20, 1Ti.1:13 (EV, injurious).† SYN. : ἀλαζών, ὑπερήφανος, see Tr., Syn., § xxix (AS)
ὑγιαίνω	be healthy	(ὑγιής), to be sound, healthy, in good health : Luk.5:31 7:10 15:27, 3Jo.2. In Past.
ὑγιής	healthy	sound, whole, healthy : Mat.12:13 15:31, Jhn.5:, 6, 9, 11, 14, 15 7:23, Act.4:10; before ἀπό, Mrk.5:34; of words, opinions, etc. (as in cl.), metaphorically, λόγος, Tit.2:8. † (AS)
ὑγρός	moist/green	[in LXX: Jdg.16:7,8 (לַח), Job.8:16 (רָשׂב), Sir.39:13 wet, moist, opposite to ξηρός: of wood, sappy, green : Luk.23:31. † (AS)
ὑδρία	jar	(ὕδωρ), prop., a water-pot or jar : Jhn.2:6, 7 John 4:28. More frequently in Attic = ἄγγυς, a pot, urn or jar of any kind, as for holding wine, coins, etc. (see Rutherford, NPhr., 23; MM, xxv). † (AS)
ὑδροποτέω	to drink water	(ὕδωρ, πίνω), to drink water, opposite to οἴνῳ χρῆσθαι: 1Ti.5:23 (Hdt., i, 71; Plat., Rep., 561 with, al.).† (AS)
ὑδρωπικός	with edema	(ὕδρωψ, dropsy), dropsical, suffering from dropsy : Luk.14:2. † (AS)
ὕδωρ	water	genitive, ὕδατος, τό, water : Mat.3:16, Mrk.1:10, Luk.7:44, Jhn.4:7, Jas.3:12, Rev.8:10, al.; pl., Mat.14:28-29, Jhn.3:23, Rev.1:15, al.; βαπτίζειν (ἐν) ὕδατι, Mat.3:11, Mrk.1:8, Jhn.1:26, al.; τ.
ὑετός	rain	(ὕω, to rain), rain : Act.14:17 28:2, Heb.6:7, Jas.5:18, Rev.11:6; ὄψιμος (which see), sc. ὑ., Jas.5:7. † (AS)
υἱοθεσία	adoption (as son)	(cf. the cl. phrases, υἱὸν τίθεσθαι, θετὸς υἱός), frequently in Inscr. (see Deiss., BS, 239), adoption of a son (or daughter); metaphorically, of God's relation established with Israel : Rom.9:4;
υἱός	son	a son; in the ordinary sense : Mat.10:37, Mrk.9:17, Luk.1:13, al. mult.; omitted with the art. of origin (WM, §30, 3; Bl., §35, 2), τὸν τοῦ Ἰεσσαί, Act.13:22 (LXX); also with genitive anarth. (cl.),
ὕλη	forest	wood, forest, woodland (Thus., Xen., al.). wood, timber, fuel (Hom., Hdt., Thuc., al.): Jas.3:5 (see Hort, Ja., 70, 104 f.). = Lat. materia, esp. in Philosophy, matter (Arist. and later writers; Wis,
ὑμᾶς	you	determinative pron., in late Gk. much more frequently than in cl. (WM, 178f.; Jannaris, HGG, §1399). Emphatic (so always in nom. exc. when preceded by the art., see infr., iii); __(1) self (ipse),
ὑμεῖς	you	determinative pron., in late Gk. much more frequently than in cl. (WM, 178f.; Jannaris, HGG, §1399). Emphatic (so always in nom. exc. when preceded by the art., see infr., iii); __(1) self (ipse),
Ὑμεναῖος	Hymenaeus	Hymenæus : 1Ti.1:20, 2Ti.2:17.† (AS)
ὑμέτερος	your	poss. pron. of second of person(s) pl. (= emphasized genitive, ὑμῶν), your, yours : Jhn.7:6 8:17 15:20, Act.27:34, Rom.11:31, 1Co.16:17, 2Co.8:8, Gal.6:13; as pred., Luk.6:20; τὸ ὑ., as subst.,
ὑμῖν	to you	determinative pron., in late Gk. much more frequently than in cl. (WM, 178f.; Jannaris, HGG, §1399). Emphatic (so always in nom. exc. when preceded by the art., see infr., iii); __(1) self (ipse),
ὑμνέω	to praise	(ὕμνος) trans., with accusative of person(s) (in cl. also with accusative of thing(s)), to sing to, laud, sing to the praise of : Act.16:25, Heb.2:12. Intrans., to sing : in LXX and NT, of singing
ὕμνος	hymn	a hymn; in cl. a festal song in praise of gods or heroes; in LXX and NT a song of praise addressed to God : Eph.5:19, Col.3:16.† SYN. : ψαλμός, that which is sung to a musical accompaniment; ᾠδή, the
ὑμῶν	of you	of youfrom or concerning) you
ὑπάγω	to go	a word of the vulgar language, in Pres. and imperfect only (Bl., § 53, 1). Trans. to lead or bring under, subdue (Hom., Hdt., al.; Ex, l.with). to lead on slowly (Hdt., Xen., al.). Intrans., to go
ὑπακοή	obedience	(ὑπακούω), obedience (opposite to παρακοή); in general, absol., εἰς ὑ., Rom.6:16; with genitive subjc., 2Co.7:15 10:6, Phm 21; with genitive obj., Rom.1:5 (Lft, Notes, 246) Rom.16:26, 1Pe.1:22; τ.
ὑπακούω	to obey	to listen, attend, hence, to answer a knock at a door (Plat., Xen., al.): Act.12:13; to attend to, submit to, obey (Hdt., Thuc., al.): absol., Php.2:12; with inf., Heb.11:8; with dative of person(s)
ὕπανδρος	married	under or subject to a man, married : γυνή, Rom.7:2 (Polyb., Diod., al.).† (AS)
ὑπαντάω	to go meet	to go to meet, meet : with dative of person(s) (see M, Pr., 64), Mat.8:28 28:9, Mrk.5:2, Luk.8:27 17:12 (ἀπ-, WH, txt.), Jhn.4:51 11:20, 30 12:18, Act.16:16; of meeting in battle, Luk.14:31. † (AS)
ὑπάντησις	meeting	(ὑπαντάω), a going to meet : εἰς ὑ. (see M, Pro.14:1-35 n), Mat.8:34 25:1, Jhn.12:13.† (AS)
ὕπαρξις	property	(ὑπάρχω), subsistence, existence (Arist., al.). In late writers, = τὰ ὑπάρχοντα, substance, property : Heb.10:34; pl., Act.2:45. † (AS)
ὑπάρχοντα	possession	to have, possess; (n.) possessions; to be, exist to begin; to come into existence; to exist; to be, subsist, Acts 19:40; 28:18; to be in possession, to belong, Acts 3:6; 4:37; goods, possessions,
ὑπάρχω	be already	to begin, make a beginning (Hom., Hdt., al.). to be in existence, be ready, be at hand (Hdt., Thuc., al.): Act.19:40 27:12, 21; before ἐν, Act.28:18. to be, prop, expressing continuance of an
ὑπείκω	to submit	to retire, withdraw. to yield, submit : metaphorically, Heb.13:17. † (AS)
ὑπεναντίος	opposed	set over against, opposite.
ὑπέρ	above/for	prep. with genitive, accusative C. genitive, primarily of place (rest or motion), over, above, across, beyond, hence, metaphorically, for, on behalf of : of prayer, Mat.5:44, Act.8:24, Rom.10:1,
ὑπεραίρω	be haughty	to lift or raise over.
ὑπέρακμος	past one’s prime	past the bloom of youth : 1Co.7:36 (Eustath.).† (AS)
ὑπεράνω	above	compound adv., above : as prep. with genitive, Eph.1:21 4:10, Heb.9:5.† (AS)
ὑπεραυξάνω	to increase	to increase beyond measure : 2Th.1:3 (see Lft., Notes, 98).† (AS)
ὑπερβαίνω	to wrong	trans., to step over, trans­gress (R, overreach : 1Th.4:6 ). Intrans., to transgress : metaphorically, 1Th.4:6 (R, txt.; see M, Th., in l).† (AS)
ὑπερβαλλόντως	severely	above measure : 2Co.11:23. † (AS)
ὑπερβάλλω	to surpass	trans., to throw over or beyond.
ὑπερβολή	surpassing	(ὑπερβάλλω), a throwing beyond.
ὑπερείδω	to overlook	to overlook : with accusative of thing(s), Act.17:30 (AS)
ὑπερέκεινα	beyond	comp. adv. (see Bl., 28, 2; M, Pr., 99), beyond : as prep. with genitive, τὰ ὑ. ὑμῶν, 2Co.10:16 (Byz. and Ecc.1:1-18. ).† (AS)
ὑπερεκτείνω	to overextend	to stretch out overmuch : metaphorically, ἑαυτούς, 2Co.10:14. † (AS)
ὑπερεκχύνω	to overflow	to pour out over.
ὑπερεντυγχάνω	to intercede	to intercede or make petition for (see Deiss., BS, 121 f.): before ὑπέρ, Rom.8:26. † (AS)
ὑπερέχω	be higher	trans., to hold over or above.
ὑπερηφανία	pride	(ὑπερήφανος, which see), haughtiness, arrogance, disdain : Mrk.7:22 (Plat., Xen.).† (AS)
ὑπερήφανος	arrogant	(ὑπέρ, φαίνομαι, with η pleonast., see Kühner3, I, 189) showing oneself above others; in good sense (Plat., al.), pre-eminent, splendid; more frequently in had sense, and so always in Scr., arrogant,
ὑπερνικάω	to conquer	to be more than conqueror : Rom.8:37 (eccl.).† (AS)
ὑπέρογκος	boastful	of excessive weight or size; metaphorically, excessive, immoderate, in late writers, of arrogant speech (see Mayor on Ju, l.with): n. pl., 2Pe.2:18, Ju 16.† (AS)
ὑπεροχή	authority	(ὑπερέχω) a projection, eminence, as the peak of a mountain.
ὑπερπερισσεύω	to abound	to abound more exceedingly : Rom.5:21. Mid., in same sense (RV, overflow): with dative of thing(s), 2Co.7:4. † (AS)
ὑπερπερισσῶς	exceedingly	adv., beyond measure, exceedingly : Mrk.7:37. † (AS)
ὑπερπλεονάζω	to abound	to abound exceedingly : 1Ti.1:14 ( Ps Sol 5:19; Herm., Mand., v, 2, 5).† (AS)
ὑπερυψόω	to exalt	to exalt beyond measure, exalt to the highest place : Php.2:9. to extol (Da, ll. with).† (AS)
ὑπερφρονέω	be haughty	to be overproud, high-minded (Æsch.): μὴ ὑ. παρ᾽ ὃ δεῖ φρονεῖν (on the paranom., see Vau., in l), Rom.12:3. to overlook, think slightly of (Thuc., Plat.).† (AS)
ὑπερῷον	upper room	(neut. of ὑπερῷος, above, ὑπέρ) in cl., the upper story or upper rooms where the women resided (Hom., a1.). In LXX and NT, an upper chamber, roof-chamber, built on the flat roof of the house (see DB,
ὑπέχω	to undergo	to hold or put under.
ὑπήκοος	obedient	(ὑπακσύω), giving ear, obedient, subject : Php.2:8; with dative of person(s), Act.7:39; εἰς πάντα, 2Co.2:9. † (AS)
ὑπηρετέω	to serve	(ὑπηρέτης) prop., to serve as rower on a ship (Diod., al.). In cl. always metaphorically, to minister to, serve : with dative of person(s), Act.13:36 20:34 24:23.† (AS)
ὑπηρέτης	servant	(ὑπό + ἐρέτης, a rower) prop., an under rower; hence, generally, a servant, attendant, minister : of a magistrate's attendant, Mat.5:25; of officers of the Synagogue or Sanhedrin, Mat.26:58,
ὕπνος	sleep	sleep : Mat.1:24, Luk.9:32, Jhn.11:13, Act.20:9; metaphorically, Rom.13:11. † (AS)
ὑπό	by/under: by	prep. with genitive, dative (not in NT), accusative C. genitive, primarily of place, under, hence, metaphorically, of the efficient cause, by : after passive verbs, with genitive of person(s),
ὑποβάλλω	to instigate	to throw or put under.
ὑπογραμμός	example	(ὑπογράφω, (a) to write under; (b) to trace letters for copying), a writing-copy, hence, an example : 1Pe.2:11 (Philo).† (AS)
ὑπόδειγμα	example	(ὑποδείκνυμι), used by later writers (Xen. onwards) for παράδειγμα (see Rutherford, NPhr., 62), a figure, copy : Heb.8:5 9:23; an example : for imitation, Jhn.13:15, Jas.5:10; for warning, Heb.4:11,
ὑποδείκνυμι	to show	to show secretly. to show by tracing out; hence, generally, to teach, make known : with dative of person(s), Luk.6:47 12:5, Act.9:16; id. with inf., Mat.3:7, Luk.3:7; before, ὅτι, Act.20:35. † (AS)
ὑποδέχομαι	to receive	to receive under one's roof, receive as a guest, entertain hospitably : with accusative of person(s), Luk.19:6, Act.17:7, Jas.2:25; εἰς τ. οἶκον, Luk.10:38 (see MM, xxv).† (AS)
ὑποδέω	to put on	to blind under, esp. of foot gear.
ὑπόδημα	sandal	(ὑποδέω), a sole bound under the foot, a sandal : Mat.3:11 10:10, Mrk.1:7, Luk.3:16 10:4 15:22 22:35, Jhn.1:27; τ. ποδῶν, Act.7:33 (LXX) Act.13:25. † SYN. : σανδάλιον, q.v (AS)
ὑπόδικος	accountable	brought to trial, answerable to : with dative of person(s), τ. θεῷ, Rom.3:19 (see MM, xxv).† (AS)
ὑποζύγιον	donkey	under the yoke; as subst., τ. (Hdt., al.), a beast of burden; colloq., an ass (see Deiss., BS, 160 f.), and so always in LXX and NT: Mat.21:5 (LXX), 2Pe.2:16. † (AS)
ὑποζώννυμι	to undergird	to undergird (Hdt., al.; ὑπὸ τ. μάστους, 2Mac, l.with); of a ship, to undergird or frap : Act.27:17 (see DB, ext. 367a).† (AS)
ὑποκάτω	under	below, under : as prep. with genitive, Mat.22:44, Mrk.6:11 7:28 12:36 (Rec., R, txt., ὑποπόδιον, as in LXX), Luk.8:16, Jhn.1:51, Heb.2:8 " (LXX), Rev.5:3, 13 6:9 12:1.† (AS)
ὑποκρίνω	to pretend	= Att.. ἀποκρίνομαι (which see), to answer, reply (Hom., Hdt., al.). to answer on the stage, play apart (Arist., al.). Metaphorical, to feign, pretend (Demos., Polyb.): with accusative and inf.,
ὑπόκρισις	hypocrisy	(ὑποκρίνομαι, which see) a reply, answer (Hdt.). play-acting (Arist., Polyb., al.). Metaphorical, pretence, hypocrisy : Mat.23:28, Mrk.12:15, Luk.12:1, Gal.2:13, 1Ti.4:2, 1Pe.2:1 (Polyb., Pss Sng.4:7
ὑποκριτής	hypocrite	(ὑποκρίνομαι, which see) one who answers, an interpreter (Plat.). a stage player, actor (Plut., Xen., al.). Metaphorical (in LXX and NT), a pretender, dissembler, hypocrite : Mat.6:2, 5 6:16 7:5 15:7
ὑπολαμβάνω	to take up/suppose	to take or bear up (by supporting from beneath): with accusative of person(s), Act.1:9. to receive, welcome, entertain (Xen.): III Jn 8. to catch up in speech (Hdt., al.; Jb, ll. with): Luk.10:30. Of
ὑπολείπω	to leave	to leave remaining (Hom., Thuc., al.): pass., of survivors, Rom.11:3. † (AS)
ὑπολήνιον	trough	(ὑπό, ληνός), a vessel or trough beneath a winepress to receive the juice (RV, a pit for the winepress): Mrk.12:1 (see Swete, in l, and cf. ληνός).† (AS)
ὑπολιμπάνω	to leave behind	collat. form of ὑπολείπω, to leave behind : 1Pe.2:21. † (AS)
ὑπομένω	to remain/endure	in-trans., to stay behind : before ἐν, Luk.2:43; ἐκεῖ, Act.17:14. Trans., with accusative, to await, wait for : Rom.8:24 (Hom., Hdt., Xen., al.); of things, to bear patiently, endure : absol.,
ὑπομιμνήσκω	to remind	to cause one to remember, put one in mind or remind one of : with accusative of thing(s), 2Ti.2:14, 3Jn.10; with dupl. accusative (Thus., al.), Jhn.14:26; with accusative of person(s), before περί,
ὑπόμνησις	remembrance	(ὑπομιμνήσκω) a reminding, reminder : ἐν ὑ., 2Pe.1:13 3:1; with genitive, 2Ti.1:5. † (AS)
ὑπομονή	perseverance	(ὑπομένω) a remaining behind (Arist.). patient enduring, endurance : Luk.8:15 21:19, Rom.5:3-4 15:4-5, 2Co.6:4 12:12, Col.1:11, 2Th.1:4, 1Ti.6:11, 2Ti.3:10, Tit.2:2, Heb.10:36, Jas.1:3-4 5:11,
ὑπονοέω	to suppose	to suspect, conjecture : Act.25:18; with accusative and inf., Act.13:25 27:27.† (AS)
ὑπόνοια	suspicion	(ὑπονοέω), a suspicion : 1Ti.6:4. † (AS)
ὑποπλέω	to sail the lee	to sail under, i.e. under the lee of: with accusative, Act.27:4, 7.† (AS)
ὑποπνέω	to blow gently	to blow underneath (Arist.). to blow gently : Act.27:13. † (AS)
ὑποπόδιον	footstool	(ὑπό, πούς), a footstool (= cl. θρᾶνος): Jas.2:3; metaphorically, Mat.5:35, Mrk.12:36 (ὑποκάτω, WH, R, mg.), Luk.20:43, Act.2:35 7:49, Heb.1:13 10:13 (all, except Mt, l.with, from LXX, Psa.110:1,
ὑπόστασις	confidence/essence	(ὑφίστημι, to set under, stand under, support) a support, base or foundation (in various senses). substance (Arist., al.; opposite to φαντασία, ἔμφασις): Heb.1:3 steadiness, firmness (Polyb., al.),
ὑποστέλλω	to withdraw	to draw in, let down (ἱστίον, οὐράν, etc.). to draw back, withdraw : ἑαυτόν, Gal.2:12 (Polyb., al.; see Lft., in l). Mid., to shrink or draw back : Heb.10:38 (LXX); before τοῦ, with inf., Act.20:27;
ὑποστολή	shrinking	(ὑποστέλλω), a letting down, lowering (Plut.). a shrinking back (Hesych.): οὐκ ἐσμὲν ὑποστολῆς (on the genitive, see Bl., § 35, 2), Heb.10:39. † (AS)
ὑποστρέφω	to return	trans., to turn back or about (Hem.). Intrans., to turn back, return : Luk.2:20, 43 8:37, 40 9:10 10:17 17:15 19:12 23:48, 56, Act.8:28; with inf., Luk.17:18; before διά, Act.20:3; εἰς, Luk.1:56 2:45
ὑποστρώννυμι	to spread	late form of ὑπο-στορέννυμι, to spread or strew under : with accusative of thing(s), Luk.19:36. † (AS)
ὑποταγή	submission	subjection : 2Co.9:13, Gal.2:5. 1Ti.2:11 3:4.† (AS)
ὑποτάσσω	to subject	as a military term, to place or rank under (Polyb.). to subject, put in subjection : 1Co.15:27, Php.3:21, Heb.2:5, 8; pass., Rom.8:20, 1Co.15:27-28, 1Pe.3:22, Eph.1:22. Mid., to subject oneself, obey
ὑποτίθημι	to lay	to place under, lay down.
ὑποτρέχω	to sail under	to run in under; of navigators, to run in the lee of : with accusative (see M, Pr., 65), Act.27:16. † (AS)
ὑποτύπωσις	example	(ὑποτυπόω, to delineate), an outline, sketch.
ὑποφέρω	to endure	to bear by being under.
ὑποχωρέω	to withdraw	to go back, retire : before ἐν, Luk.5:16; before εἰς, Luk.9:10. † (AS)
ὑπωπιάζω	to wear out	(ὑπώπιον, (a) the part of the face below the eyes; (b) a blow on the face), to strike under the eye, give a black eye : metaphorically, of persistent annoyance (RV, wear out), Luk.18:6; of severe
ὗς	sow	swine : fem. (sow), 2Pe.2:22,† (AS)
ὕσσωπος	hyssop	hyssop, of which a bunch was used in ritual sprinklings : Heb.9:19; of a branch or rod (?) of hyssop, Jhn.19:29 (but see Field, Notes, 106 ff., for suggestion to substitute ὑσσῷ here).† (AS)
ὑστερέω	to lack	(ὕστερος), to come late, be behind (opposite to προτερέω, φθάνω; with genitive of thing(s), for; with genitive of person(s), later than). Metaphorical, of persons, absol., to come short, fail :
ὑστέρημα	deficiency	(ὑστερέω), that which is lacking, deficiency, shortcoming : with genitive puss. (prop. pose.), 1Co.16:17, Php.2:30; with genitive of thing(s), Col.1:24, 1Th.3:10; need, want, poverty ( Psa.34:10,
ὑστέρησις	poverty	(ὑστερέω), need, want : opposite to τὸ περισσεῦον, Mrk.12:44; καθ᾽ ὑ., Php.4:11 (eccl.).† (AS)
ὕστερον	later	(comp.) later, second; (neu.) finally, last of all posterior, in place or time; subsequent, later, last, finally, last of all Mt. 21:31; 1Tim. 4:1
